DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2009,98.5,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2010,98.35,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2011,98.2,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2012,98.05,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2013,97.9,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2014,97.75,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2015,97.61,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2016,97.46,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2017,97.31,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2018,97.16,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2019,97.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2020,97.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2021,97.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,NU,_T,_T,_T,_T,_T,_T,_Z,_T,2022,97.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2000,98.39,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2001,98.39,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2002,98.39,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2003,98.4,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2004,98.42,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2005,98.43,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2006,98.45,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2007,98.46,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2008,98.47,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2009,98.49,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2010,98.5,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2011,98.51,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2012,98.53,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2013,98.54,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2014,98.56,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2015,98.57,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2016,98.58,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2017,98.6,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2018,98.61,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2019,98.62,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2020,98.64,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2021,98.65,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,U,_T,_T,_T,_Z,_T,2022,98.66,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2000,98.67,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2001,98.7,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2002,98.73,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2003,98.77,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2004,98.8,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2005,98.83,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2006,98.86,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2007,98.89,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2008,98.92,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2009,98.96,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2010,98.99,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2011,99.02,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2012,99.05,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2013,99.08,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2014,99.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2015,99.15,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2016,99.18,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,PW,_T,_T,R,_T,_T,_T,_Z,_T,2017,99.21,PERCENT,G,_X,,,
